unit_id,unit_state,trusted_judgments,last_judgment,predicted_category,confidence,tweet
191083385,finalized,3,8/12/2012 13:27,"People missing, found or seen",0.6525,"Missing Child A Victim Of Historic Tornado Season: Teams of rescuers were out Wednesday in Canadian County,... "
191083510,finalized,3,8/12/2012 13:27,"People missing, found or seen",1,"Week after tornado,  people missing "
191083566,finalized,3,8/12/2012 13:25,"People missing, found or seen",0.6551,"Missing List in Joplin Tornado Drops to : Ninety of the people unaccounted for after the Joplin, Mo., tornado... "
191083610,finalized,3,8/12/2012 13:10,"People missing, found or seen",0.6484,"  My thoughts/prayers w/tornado victims. In my hometown OKC, a -year-old boy still missing. Help find him:  ..."
191083643,finalized,3,8/12/2012 13:29,"People missing, found or seen",0.6566,"  , people are still unaccounted for in #Joplin, Missouri | "
191083676,finalized,3,8/12/2012 13:21,"People missing, found or seen",1, Please read and retweet my iReport on CNN.com for missing baby Skyular #Joplintornado #CNN #Joplin 
191083680,finalized,3,8/12/2012 13:22,"People missing, found or seen",0.6796,Missouri to name tornado missing: The US state of Missouri is to release a list of people unaccounted for since ... 
191083684,finalized,3,8/12/2012 14:03,"People missing, found or seen",1,  OMG PLEASE !   #Urgent:  month old baby girl @ #Cox South Hospital from #Joplin storms. no one know who s ...
191083742,finalized,3,8/12/2012 13:26,"People missing, found or seen",1,PinoyPortal US: Hundreds still missing in tornado-hit Missouri city 
191083749,finalized,3,8/12/2012 13:29,"People missing, found or seen",1, Please read and retweet my iReport on CNN.com for missing baby Skyular #Joplintornado #CNN #Joplin 
191083789,finalized,3,8/12/2012 13:36,"People missing, found or seen",0.648,Wow indeed.   Wow --  people still unaccounted for in #Joplin.
191083807,finalized,3,8/12/2012 13:18,"People missing, found or seen",0.3429,#Joplin NORMLÃ¢â‚¬â„¢s Kelly Maddy loses #Missouri home to #tornado; please help!: Kelly's house wasÃ¢â‚¬Â¦ 
191083818,finalized,3,8/12/2012 14:13,"People missing, found or seen",0.6281, You can report yourself Safe and Well or search for loved ones at  #joplin #mowx #tornado
191083851,finalized,3,8/12/2012 13:26,"People missing, found or seen",0.687,  President Obama in #joplin Sun... #Potus with the people... 
191083854,finalized,3,8/12/2012 14:05,"People missing, found or seen",1,  State official:  people still missing;  have been located. #JoplinTornado
191083869,finalized,3,8/12/2012 13:35,"People missing, found or seen",0.6411,"  About  people unaccounted for in #joplin. many of those may be alive, just can't reach loved ones. #ac p"
191083913,finalized,3,8/12/2012 13:24,"People missing, found or seen",1,"#joplin #missouri #tornado MISSING PERSON: Natasha Edwards,  months pregnant, Please call Janie -- #prayforjoplin"
191083921,finalized,3,8/12/2012 13:36,"People missing, found or seen",0.3435,:( Thinking about my 'Bama folks...Stay safe yall! --Tornado Survivor Reunited With Cat During TV Interview  
191083939,finalized,3,8/12/2012 13:26,"People missing, found or seen",0.6478,"  , AMERICANS still missing as Tornado's continue to rip through our Heartland. Obama: I'll get back to it on Sunda ..."
191083958,finalized,3,8/12/2012 13:50,"People missing, found or seen",0.3676,  Dallas Love Field: all passengers and staff are in the basement of the terminal.  #txwx (via 
191783056,finalized,3,8/19/2012 18:01,Caution and advice,1,"Yesterday was supposed to be  and sunny/cold and rain. Today was supposed to be  and sunny, guess what? Tornado warning #FUCKTOLEDOOHIO"
191783057,finalized,3,8/16/2012 16:46,Caution and advice,0.657,  News was goin crazy about tornado  warnings n it didn even rain ! -__- - shit was wild over in CT .  ppl died
191783058,finalized,3,8/19/2012 16:45,Caution and advice,1,  Everybody on the campus of the University of Oklahoma should be in a tornado safe place now. #okwx
191783059,finalized,3,8/17/2012 1:16,Caution and advice,1,Almyra Arkansas tornado about to hit the ground
191783060,finalized,4,8/18/2012 19:57,Caution and advice,0.7462,I hear the tornado sires going off now.  Buildings in downtown Kansas City being evacuated now! Tornado Warning.
191783061,finalized,4,8/17/2012 15:24,Caution and advice,1,"Tornado watch canceled for Douglas County, Coles County, Moultrie County"
191783062,finalized,4,8/19/2012 18:21,Caution and advice,0.5001,In the U.S. they have tornado watch.. In Saint John we have severe thunderstorm watch.. #Seriously? What's the point of thunderstorm watch?
191783063,golden,1,8/14/2012 14:58,Caution and advice,1,At mssu for memorial service. #Joplin #superwindy
191783064,finalized,4,8/19/2012 7:57,Caution and advice,0.5027,Thank god possible tornado moved away from this area. Praying this tornado doesn't really cause destruction!
191783065,finalized,4,8/19/2012 18:21,Caution and advice,0.523,Tornado headed toward us.... we're closing down for a while ...
191783066,finalized,3,8/16/2012 21:34,Caution and advice,1,It's A Tornado Out Here Lol Trees Falling Down And Shxt!!! I Gotta Get Out The Country...This Typa Shxt Don't Happen In New York Lol
191783067,finalized,3,8/19/2012 15:52,Caution and advice,0.6508,"Tornado watch and already thunder, lightening and a splitting headache. What fun lies ahead ? #tornado"
191783068,golden,3,8/19/2012 8:37,Caution and advice,0.645,"  Tornado on the ground less than  miles away, guys. On the ground in Bedford. SEEK SHELTER IMMEDIATELY."
191783069,golden,3,8/18/2012 19:47,Caution and advice,0.6807,Wow. Tornado reported over in Bellingham and Milford  thankfully it didn't touchdown.
191783070,finalized,3,8/18/2012 21:20,Caution and advice,1,  #Joplin #Missouri #tornado has been cancelled. More severe weather expected in the area tonight. Potentially severe. St ...
191783071,golden,4,8/19/2012 8:47,Caution and advice,1,"Possible #tornado on the ground near Ohio City, #Ohio. Cell has very strong low level rotation! ** SEEK SHELTER ** #OHWX Follow  updates."
191783072,finalized,3,8/18/2012 21:31,Caution and advice,1,Tornado warning. #FML
191783073,finalized,5,8/19/2012 7:44,Caution and advice,0.548," Girl, you are tornado watching too much! If you need to, get to safety, OK!!"
191783074,finalized,3,8/19/2012 17:44,Caution and advice,1,bitch it's a tornado.. ain't shit to be scared of! you betta get your bitch ass in the position they taught you in elementary!
191783075,finalized,3,8/19/2012 10:04,Caution and advice,0.3439,"Tornado forming over river, awesome.  "
191783076,finalized,3,8/19/2012 15:52,Caution and advice,1,I'm pretty sure that's the tornado siren.
191783077,golden,4,8/19/2012 8:53,Caution and advice,0.7491,"  Confirmed tornado on the ground in Dallas near Love Field. ""Softball-sized hail."" via "
191783078,finalized,3,8/17/2012 22:38,Caution and advice,1,That Tornado Warning Shit just came on my Tv..
191783079,golden,16,8/18/2012 5:56,Caution and advice,0.7108, Man I swear #MotherNature has been pissed of in . We got tornado warnings all over the Mtown&lt;&lt;she needs to get laid. haha
191783080,golden,65,8/19/2012 16:30,Caution and advice,1,Murfreesboro PD confirming a tornado touchdown in Rutherford county. The storm is really cranking up here in the Lascassas Pike area....
191783081,finalized,4,8/19/2012 18:21,Caution and advice,0.5377,"Tornado alarms blasting in the city, and all I'm thinking is Yippeee! I still have internet connection"
191783082,golden,59,8/19/2012 17:52,Caution and advice,0.8502,"Take cover Dallas!   DAMAGE IN DALLAS COUNTY NEAR EAGLE FORD, TX REPOS OF LARGE #TORNADO ON GROUND #txwx"
191783083,golden,56,8/19/2012 16:30,Caution and advice,0.9531,Tornado on ground in Southern Dallas County.
191783084,golden,13,8/17/2012 1:16,Caution and advice,0.5284,Emergency crews flying down highway toward Springfield at an alarming rate. Wish I stayed for the second #tornado.
191783085,golden,11,8/17/2012 1:25,Caution and advice,1,Lol so there is a tornado warning outside n im at work -_-
191783086,finalized,4,8/16/2012 16:52,Caution and advice,0.7789,Tornado heading up Nall into Leawood. This is far too close for comfort. YIKES! I'm seriously scared! #kcstorms #tornado #FB #praying
191783087,finalized,4,8/19/2012 18:21,Caution and advice,0.5234,It was a tornado in GB but it's gone now    wht tornado
191783088,golden,4,8/18/2012 20:01,Caution and advice,0.758,"Tornado watch upgraded to warning in ctrl Oxfd Cty. Wther svc: ""Severe thunderstorm capable of producing a tornado  miles west of Bethel"""
191783089,golden,20,8/19/2012 18:08,Caution and advice,0.951,Is that the ice cream truck? No wait shit thats a tornado warning siren
191783090,finalized,3,8/18/2012 15:50,Caution and advice,1,There's a tornado warning around my area. :$
191783091,finalized,3,8/18/2012 21:35,Caution and advice,1,"  Jeez, Kansas City. You didn't have to organize such a dramatic welcome. #tornado Warning is lifted. We're going to have lun ..."
191783092,golden,1,8/18/2012 20:08,Caution and advice,1,Tornado warning?
191783093,golden,2,8/14/2012 17:27,Caution and advice,0.5752,"If ing #tornado warnings, note the time of the original tweet or information. Don't tweet old information--not helpful."
191783094,finalized,3,8/16/2012 5:51,Caution and advice,1, wow!! i was just in a tornado warning but it wasn't that bad! i hope it blows over fast!
191783095,finalized,3,8/17/2012 1:22,Caution and advice,0.7083, yes they are it looks like a tornado is coming
191783096,finalized,3,8/18/2012 11:40,Caution and advice,1,am i the only one who's been in a soccer game when the tornado sirens go off?? OUTTA TOWN!...n a tornado actually hit it was SCARY!
191783097,finalized,3,8/17/2012 1:31,Caution and advice,0.6818,"Damn tornado warning don't mean shit  me. Motherfucka, I have survived Katrina's bitch ass,  tornados & a blizzard. Just another day  me"
191783098,finalized,3,8/16/2012 17:53,Caution and advice,1,Tornado warning..ok im goin to take my bike nd go get something to eat
191783099,golden,1,8/18/2012 20:15,Caution and advice,1,Just drove right under a tornado forming.....holy shit....are we home yet???????
191783100,finalized,3,8/17/2012 22:23,Caution and advice,0.6488," Yep same for us, our tornado chances went down, still sitting here ready to drive to safety though."
191783101,finalized,4,8/18/2012 21:33,Caution and advice,0.5095,"Looks like another tornado. Yep, got all my books in the basement."
191783102,golden,59,8/19/2012 17:13,Caution and advice,0.9627,tornado warning issed for st. joseph county. sky is almost black.
191783103,finalized,3,8/15/2012 2:15,Caution and advice,1, ... and now we're under a tornado watch for the same storm system that hit OK.
191783104,golden,7,8/19/2012 8:16,Caution and advice,0.2988,"    #Debris falling on #I  #Tornado has lifted, a mile & / west of Casino/seems headed toward Tulsa, h ..."
191783105,finalized,4,8/16/2012 2:57,Caution and advice,0.7343,Wow this tornado was WAY closer than Joplin :(
191783106,finalized,6,8/17/2012 12:39,Caution and advice,1,tornado warning and the mall on lockdown. oh shit. meridian goin nuts.
191783107,finalized,3,8/18/2012 18:07,Caution and advice,1,"  Sirens started going off. Tornado has officially touched down in my hometown, super worried about my family right. #p ..."
191783108,finalized,3,8/17/2012 23:30,Caution and advice,0.6791,TAKE COVER!!! #TORNADO!!
191783109,golden,15,8/19/2012 7:50,Caution and advice,0.9315,Please be praying for everybody here in Joplin! Tornado sirens once again. :(
191783110,golden,21,8/19/2012 18:21,Caution and advice,0.7171,Tornado headed right for the sprint headquarters...dad if you see this I'm in Hannah's basement! #scared
191783111,finalized,4,8/16/2012 9:05,Caution and advice,0.5203,Major tornado outbreak overnight. People need help and I'm feeling helpless.
191783112,finalized,4,8/18/2012 16:02,Caution and advice,1,there is tornado warnings so we might have to go to the celler
191783113,finalized,3,8/19/2012 7:39,Caution and advice,0.7367,"Were under a tornado warning, and the sirens are going off like crazy ... I did sign up for this."
191783114,finalized,3,8/18/2012 18:00,Caution and advice,0.6809,Winds are gusting tonight.  I'm in an area that DOES NOT get tornado's but we now have a tornado watch !!!  crazy......
191783115,finalized,4,8/19/2012 8:11,Caution and advice,0.738,"  cass, johnson, jackson, layfatte county under tornado warnings rt now"
191783116,finalized,3,8/18/2012 9:59,Caution and advice,0.6482,The weather be scaring people the only thing we gonna get is alot of rain... No tornado.
191783117,finalized,3,8/18/2012 16:02,Caution and advice,1,"    Developing: NWS meteorologists were tracking a tornado on the ground near Ramona, SD, moving NE at ..."
191783118,finalized,4,8/16/2012 18:12,Caution and advice,1,Taking cover. Sirens going off. #tornado heading north along hwy  :/
191783119,finalized,4,8/19/2012 8:37,Caution and advice,0.7445,"Holy hell...a tornado warning for east of Grand Rapids, MI!!!"
191783120,finalized,4,8/17/2012 1:36,Caution and advice,0.732,"Just remember, if you are outside in a tornado, you are screwed.  Indoors, think about bathtub/mattress combo."
191783121,finalized,4,8/18/2012 21:29,Caution and advice,0.7575,"#tornado watch; needless to say, im freaking out. and the most important part of my survival kit is missing &lt;/"
191783122,finalized,3,8/18/2012 21:15,Caution and advice,0.6358, I checked & sirens prob shouldn't have gone off in Crete b/c it was not in the tornado warning. better safe than sorry  ty!
191783123,golden,64,8/19/2012 16:30,Caution and advice,0.4538,Everybody go in y'all basements tornado coming lol..
191783124,golden,60,8/19/2012 16:39,Caution and advice,0.8664,    Tornado sirens going off now in Cumberland #inwx  I Just Tweeted that!
191783125,golden,12,8/15/2012 2:18,Caution and advice,0.916,the air smells of Tornado
191783126,golden,65,8/19/2012 17:39,Caution and advice,0.7619,Tornado Watch now for entire metro area.  Just issued.
191783127,golden,15,8/15/2012 2:24,Caution and advice,0.8739,"Tornado sirens blaring in Brookside, but hail ended for now."
191783128,golden,68,8/19/2012 16:30,Caution and advice,0.9549,Raining tornado warning hope everyone is ok
191783129,golden,60,8/19/2012 16:45,Caution and advice,0.8818,I just heard the tornado sirens and at first was like 'Dammit!!!' then remembered it's the first Wed of the month.
191783130,golden,15,8/15/2012 2:28,Caution and advice,0.7913,That was some apocalyptic weather that just hit.  I thought that was an impromptu tornado
191783131,golden,55,8/19/2012 16:30,Caution and advice,0.9178,"  JEFFERSON, GALLATIN, POPE, SALINE, WILLIAMSON, JACKSON, PERRY IL ALL UNDER TORNADO WARNINGS. NOW IS THE TIME TO SEEK SHELTER."
191783132,golden,56,8/19/2012 16:49,Caution and advice,0.5828,  Apparently we have no exclusivity.  The tornado watch is for all SE NY.  
191783133,golden,55,8/19/2012 17:44,Caution and advice,0.5182,"The #PDS #Tornado watch for parts of KY runs until pm CDT. Includes Bowling Green, Louisville, Paducah, Ft. Campbell, Franklin. #KYwx"
191783134,golden,13,8/15/2012 5:49,Caution and advice,0.7657,"praying for all the people who are under the tornado warnings right now! please be safe:) and keep your head held up high, you'll make it ."
191783135,golden,18,8/15/2012 2:32,Caution and advice,0.4576,Tornado hunters are on their way   Severe storms hit #hamont area - may have spawned a tornado 
191783136,golden,17,8/18/2012 5:44,Caution and advice,1,"Tornado Warning until : p.m. for DeSoto, Marshall and Tate counties in Mississippi."
191783137,golden,70,8/19/2012 18:01,Caution and advice,0.9198,.     - leave sap at Flying J alone and come join #WBC #joplin picket :)
191783138,golden,59,8/19/2012 17:30,Caution and advice,0.5443,"  I think we're clear of the tornado now, which means I can get on the *electric* bus now. #notthesafestplaceinastorm"
191783139,finalized,6,8/17/2012 1:25,Caution and advice,0.6898,Tornado Watch ÃŒÂ¢â€°Ã¢Ã‚â€°Ã›Ã Expiration 
191783140,finalized,4,8/18/2012 18:00,Caution and advice,0.7758,Tornado Warning for Butler and Preble Counties until : PM.
191783141,finalized,4,8/16/2012 17:50,Caution and advice,0.5385,  TORNADO WARNING issued for parts of DAVIESS county in KY until : PM CT -  #tristatewx
191783142,finalized,5,8/18/2012 21:27,Caution and advice,0.8012,"  #Tornado reported in the Kansas City metro!  TAKE COVER in Overland Park, Leawood, Lenexa!  Alert:  "
191783143,finalized,3,8/18/2012 21:42,Caution and advice,0.6381,  PDS  #Tornado Watch for much of NW/N TX and OK. #txwx #okwx #severe
191783144,finalized,4,8/19/2012 8:37,Caution and advice,0.5687,  Thursday system would likely be a significant tornado outbreak in Canadian Prairies if a month later with moisture.   ...
191783145,finalized,4,8/17/2012 1:48,Caution and advice,1," New tornado warning for storm in Springfield/Chicopee. Heading east at mph. Warning into SW Worcester County again, ti.	Thu Jun  :: AST 	&lt;a href="" rel=""nofollow""&gt;Twitter for Android&lt;/a&gt;"
191783146,finalized,3,8/19/2012 17:52,Caution and advice,0.4215,    BREAKING #NOAA has upgraded Joplin #tornado from EF- to EF-; winds greater than  mph
191783147,finalized,3,8/19/2012 18:01,Caution and advice,0.6467,"  Another tornado in OK; this one a half-mile wide. More coming. Text ""REDCROSS"" to  to ... "
191783148,finalized,3,8/18/2012 21:41,Caution and advice,1,A tornado warning for Oakland County. #backchannel
191783149,finalized,3,8/18/2012 19:57,Caution and advice,0.689,A SEVERE THUNDERSTORM WARNING HAS BEEN ISSUED FOR BEAVER COUNTY IN THE OKLAHOMA PANHANDLE UNTIL : PM SATURDAY. #okwx #fb
191783150,finalized,4,8/17/2012 11:06,Caution and advice,1,  Jonesboro Westside Middle school tornado shelter will be open to the public. #ARWX 
191783151,finalized,3,8/17/2012 22:06,Caution and advice,0.6594,  New Meso... Tornado WATCH is likely just west of the Tri-State ... #ILwx #KYwx #tristatewx
191783152,finalized,3,8/19/2012 10:04,Caution and advice,0.6736,"  Denning has taken a direct hit from this large, dangerous tornado, which is headed toward I- between HWY  and Clarksville."
191783153,finalized,5,8/18/2012 21:42,Caution and advice,0.8145,  Weather spotters confirm a tornado is on the ground moving toward Joplin.
191783154,finalized,3,8/18/2012 20:08,Caution and advice,0.6962, Heard these was a tornado in the Chicago area FWIW.
191783155,finalized,3,8/18/2012 20:08,Caution and advice,1,  Tornado warning ended for Hamilton. Still severe thunderstorm warnings.
191783156,finalized,3,8/19/2012 18:08,Caution and advice,1, oh that could be it. But be careful they just issued a tornado warning for all southeastern mi..........
191783157,finalized,4,8/18/2012 9:48,Caution and advice,0.7628,Looks like new #tornado #warning for #Springfield MA area!crazyness ... coverage: Springfield: WWLP.com WGGB.com Boston: WBZtv.com WHDH.com
191783158,finalized,3,8/17/2012 1:22,Caution and advice,1,    TORNADO WARNING issued for parts of GALLATIN; WHITE; POSEY; HENDERSON; UNION county in IL/IN/KY ...
191783159,finalized,3,8/18/2012 11:58,Caution and advice,0.7117,"Horrible.   More severe weather moving into tornado-hit #Joplin, Missouri, area. "
191783160,finalized,3,8/18/2012 21:41,Caution and advice,1,  Storm spotters reporting tornado on the ground northeast of Bedford right now
191783161,finalized,3,8/18/2012 21:39,Caution and advice,0.712,  FEMA  now enroute to #JOPLIN with IMAT team with full support team at the ready.  #JOPLIN
191783162,finalized,3,8/18/2012 20:22,Caution and advice,0.6319,"  After a #tornado Limit travel, sightseeing can impede emergency response #tornado #springfield #MA #WX Stay home, stay ..."
191783163,finalized,3,8/17/2012 11:06,Caution and advice,1,Tornado warning! AHHH
191783164,finalized,4,8/19/2012 3:41,Caution and advice,0.5536,  Another TORNADO report ...now just west of Seymour and north of US .
191783165,finalized,3,8/18/2012 21:29,Caution and advice,0.6579, Look out for Tornado's
191783166,finalized,3,8/17/2012 21:50,Caution and advice,0.6438,Ahhhhhh! We have a tornado watch!!!
191783167,finalized,3,8/18/2012 20:08,Caution and advice,0.645,Tornado Watch Wednesday: Report In Liveblog # 
191783168,finalized,3,8/17/2012 0:32,Caution and advice,1,Tornado warning for Midland and southern Midland county #michigan
191783169,finalized,3,8/19/2012 16:49,Caution and advice,0.7025,tornado watch for central mississippi including starkville till AM..expect the strongest storms between  and AM.
191783170,finalized,3,8/18/2012 21:29,Caution and advice,0.6568,"  TAKE COVER near Beaman, MO and eastern Pettis County.  #Tornado likely doing damage.   "
191783171,finalized,3,8/19/2012 16:39,Caution and advice,1,Tornado Warning for Oakland County in MI until :pm EDT.
191783172,finalized,3,8/19/2012 8:01,Caution and advice,1,"  Brief #tornado reported near Rose, NE.  The supercell they're tracking:    #newx"
191783173,finalized,4,8/19/2012 7:39,Caution and advice,1,"Tornado Warning for Elkhart, Kosciusko, Lagrange, Marshall, Noble and St. Joseph County in IN until :pm EDT. #inwx"
191783174,finalized,4,8/18/2012 19:46,Caution and advice,1,"  Weather spotters report #tornado moving toward Joplin, Missouri, at  mph "
191783175,finalized,3,8/18/2012 20:01,Caution and advice,0.617,"  Fans at Rangers game in Arlington, Texas, are sheltering in place after tornado warning -   ..."
191783176,finalized,4,8/18/2012 21:17,Caution and advice,0.5147,Tornado Terjang Massachusetts: // :  
191783177,finalized,3,8/16/2012 5:55,Caution and advice,0.7419,From #Joplin site: Police &fire officials strongly encourage anyone who does not live in the affected area to stay clear of damage site.
191783178,finalized,3,8/17/2012 1:16,Caution and advice,0.6984,SPC Tornado Watch  Status Reports 
191783179,finalized,3,8/15/2012 19:11,Caution and advice,0.6757,Another possible Tornado near Amherst
191783180,finalized,3,8/19/2012 18:08,Caution and advice,0.6667,"Storms rolling in... The classic combo of thunderstorm warning + tornado watch = sirens... HA HA insomnia, storms always defeat you! Zzzzz.."
191783181,finalized,5,8/16/2012 13:49,Caution and advice,0.8048,  Tornado Risk Seen For Social Security Data Center 
191783182,finalized,3,8/14/2012 20:05,Caution and advice,0.6348,"  Just In:  A tornado was spotted near midtown Memphis, Tennessee, according to the National Weather Service."
191783183,finalized,4,8/18/2012 20:01,Caution and advice,0.5255,  A tornado watch is in effect for Nassau County and all of New York City until  p.m. today 
191783184,finalized,3,8/16/2012 17:00,Caution and advice,0.6946,"  #Tornado near Brimfield, MA moving E.  Will pass very close AGAIN to Sturbridge, MA.  TAKE COVER!  Alert:  . ..."
191783185,finalized,3,8/14/2012 19:15,Caution and advice,1,Tornado Warning :(
191783186,finalized,3,8/18/2012 20:22,Caution and advice,1,"  #Tornado warning for Shelby and parts of Crittenden counties, Tenn., including Memphis "
191783187,finalized,3,8/19/2012 16:49,Caution and advice,0.7073,  National Weather Service issues tornado watch for central Indiana until  p.m.
191783188,finalized,3,8/17/2012 23:50,Caution and advice,0.7203,"    The Storm Prediction Center has extended the Tornado watch for Hartford, Tolland and Windham Coun ..."
191783189,finalized,4,8/18/2012 9:55,Caution and advice,0.4964,"  LARGE, multivortex #tornado now near Binger, OK or  miles south of Hinton.  TAKE COVER NOW below ground!  . ..."
191783190,finalized,3,8/16/2012 21:34,Caution and advice,1,"NWS dopplar radar indicated a severe storm producing a tornado near Clarksdale, Mississippi, moving NE at  mph "
191783191,finalized,3,8/16/2012 13:22,Caution and advice,1,"  Tornado warning for Jefferson County, White Hall, Pine Bluff take cover now. /via "
191783192,finalized,5,8/18/2012 21:20,Caution and advice,0.6215,"    NWS issues #tornado emergency for Newcastle, Norman and Moore, Oklahoma "
191783193,finalized,3,8/17/2012 3:24,Caution and advice,0.6667,So the tornado siren just went off :(:(
191783194,finalized,4,8/18/2012 21:35,Caution and advice,0.4832,tornado watch extends from
191783195,finalized,3,8/19/2012 17:06,Caution and advice,1,"  New event. Tornado Warning from // : PM to : PM CDT for Barton County, Dade Coun... Read more at  ..."
191783196,finalized,3,8/15/2012 20:56,Caution and advice,0.6962,"Another tornado headed towards Joplin, MO. Damn #PrayForJoplin"
191783197,finalized,3,8/18/2012 21:41,Caution and advice,0.694,  The whole state of new jersey is under a tornado watch.. Oh.
191783198,finalized,4,8/18/2012 16:07,Caution and advice,1,"    #Truckers have blocked #Westboro in at the Flying J in #Joplin! If you're near, stand with them! #tcot  ..."
191783199,finalized,3,8/18/2012 19:57,Caution and advice,1,TORNADO WATCH UNTIL  PM IN NE OHIO STRONG TO SVR STORMS WITH A HISTORY OF PRODUCING LG HAIL & ROTATION WILL AFFECT NE OH AND NW PA AT  PM
191783200,finalized,3,8/19/2012 8:06,Caution and advice,1,"  Tornado on the ground near Harrisonville, MO. Another in KS along I- near Mile marker ."
191783201,finalized,4,8/17/2012 15:31,Caution and advice,0.7807,Tornado Warning for Ouachita and Union Parish in LA until :pm CDT. #lawx
191783202,finalized,3,8/19/2012 7:57,Caution and advice,1,Tornado warning alert but no tornado 
191783203,finalized,3,8/17/2012 22:00,Caution and advice,1,A SEVERE THUNDERSTORM WARNING REMAINS IN EFFECT UNTIL  AM CDT FOR CENTRAL COMANCHE COUNTY  #okwx
191783204,finalized,3,8/18/2012 11:58,Caution and advice,1,#Tornado watch till  pm CDT Saint Louis city county Jefferson St Charles Franklin Lincoln Pike Warren & Montgomery counties #MO #STL
191783205,finalized,3,8/18/2012 21:23,Caution and advice,1,"  #Tornado on the ground south of Palmer, #Mass. & continue moving eastward toward Fiskdale in western Worcester Co.  ..."
191783206,finalized,4,8/18/2012 16:31,Caution and advice,0.7423,  NOAA's Storm Prediction Center:  HIGH risk for severe today.  Dr. Forbes agrees.  Ingredients for #tornado outbreak: ...
191783207,finalized,4,8/17/2012 22:06,Caution and advice,1,Tornado warning
